Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Pfluger	August Lee	II	P	TX11	2025	2/15/2025	20021220
Hon.	Phillips	Dean		B	MN03	2025	1/23/2025	8220735
Hon.	Phillips	Dean		B	MN03	2025	1/31/2025	8220736
Hon.	Phillips	Dean		T	MN03	2025	4/23/2025	10063264
Hon.	Phillips	Dean		X	MN03	2025	1/14/2025	30022471
	Piccinini	Katherine		C	CA10	2025	5/10/2025	10066880
	Poludniak	Cody Nikolas		W	CA02	2025	5/19/2025	8004
	Popp	Benjamin		D	PA06	2025	5/19/2025	40004780
	Porter	Ferguson		X	CA41	2025	2/25/2025	30022498
Hon.	Porter	Katherine		T	CA47	2025	1/16/2025	10063230
Hon.	Posey	Bill		T	FL08	2025	1/21/2025	8220738
	Pusczek	Amanda Noelle		D	AL05	2025	5/21/2025	8220959
	Rainforth	Matthew G.		C	VA07	2025	5/12/2025	10068116
	Rakov	Jake		X	CA32	2025	5/9/2025	8220891
Hon.	Randall	Emily		P	WA06	2025	2/11/2025	20026756
Hon.	Raskin	Jamie		P	MD08	2025	4/9/2025	8220828
Hon.	Reschenthaler	Guy Mr		P	PA14	2025	1/9/2025	20026547
Hon.	Reschenthaler	Guy Mr		P	PA14	2025	4/29/2025	20030237
Hon.	Reschenthaler	Guy Mr		P	PA14	2025	5/20/2025	20030371
	Reynolds	Lowell Andre		D	TN05	2025	5/19/2025	40004779
	Riker	Brandon		X	CA41	2025	5/9/2025	8220892
	Riley	Cheryl		C	MD08	2025	3/4/2025	10063417
	Riley	Cheryl		X	MD08	2025	3/10/2025	30022502
	Rivas	Jorge		C	AZ07	2025	5/4/2025	10067267
Hon.	Rodgers	Cathy McMorris		T	WA05	2025	1/18/2025	10063285
	Rodriguez	Jimmy	Sr.	X	AZ07	2025	5/14/2025	30023157
Hon.	Rogers	Harold Dallas		P	KY05	2025	2/12/2025	8220755
Hon.	Rogers	Harold Dallas		P	KY05	2025	3/6/2025	8220782
Hon.	Rogers	Harold Dallas		P	KY05	2025	5/1/2025	8220844
Hon.	Rogers	Harold Dallas		P	KY05	2025	5/20/2025	8220958
	Rosario	Angelina Sigala		C	CA13	2025	5/8/2025	10067657
Hon.	Rosendale	Matt M.		T	MT02	2025	1/30/2025	10063300
Hon.	Rosendale	Matt M.		X	MT02	2025	1/29/2025	30022485
	Roth	Michael		X	NJ07	2025	5/14/2025	30023160
Hon.	Ruppersberger	C. A. Dutch		T	MD02	2025	1/14/2025	10063256
	Russ	David Honorable		C	OR06	2025	4/19/2025	10066355
	Rutinel	Manny		C	CO08	2025	5/14/2025	10068126
Hon.	Sablan	Gregorio Kilili Camacho		T	MP00	2025	3/27/2025	10063261
Hon.	Sablan	Gregorio Kilili Camacho		X	MP00	2025	1/31/2025	30022489
Hon.	Sablan	Gregorio Kilili Camacho		X	MP00	2025	3/10/2025	30022506
	Sacks	Mike		X	NY17	2025	5/14/2025	30022771
	Salegui	Jim		A	CA01	2025	5/23/2025	10070309
	Salegui	Jim		C	CA01	2025	5/12/2025	10067900
Hon.	Sarbanes	John P.		T	MD03	2025	1/25/2025	10063257
	Sartin	David Wayne		D	WV01	2025	3/3/2025	40003724
Hon.	Schneider	Bradley S.		P	IL10	2025	3/5/2025	20027911
	Schwartz	Daniel		X	MD01	2025	5/22/2025	30023998
	Schwartzel	Jim		X	FL19	2025	5/14/2025	30023288
Hon.	Self	Keith Alan		P	TX03	2025	1/23/2025	8220731
Hon.	Sewell	Terri A.		P	AL07	2025	5/12/2025	20030235
Dr.	Shah	Amish Dr		X	AZ01	2025	5/22/2025	30023946
Hon.	Sherman	Brad		P	CA32	2025	2/20/2025	8220768
Hon.	Sherman	Brad		P	CA32	2025	2/25/2025	8220770
Hon.	Sherman	Brad		P	CA32	2025	3/3/2025	8220780
Hon.	Sherrill	Mikie		P	NJ11	2025	3/10/2025	20027937
Hon.	Shreve	Jefferson		P	IN06	2025	2/12/2025	20026770
Hon.	Shreve	Jefferson		P	IN06	2025	3/9/2025	20027879
Hon.	Shreve	Jefferson		P	IN06	2025	4/11/2025	20029038
Hon.	Shreve	Jefferson		P	IN06	2025	5/8/2025	20030231
	Sigala	Angelina		W	CA13	2025	5/19/2025	8006
	Sleister	Nicolaus		D	VA02	2025	5/19/2025	40004767
Hon.	Slotkin	Elissa		E	MI07	2025	1/17/2025	40003710
	Smead	Josh		C	MO06	2025	5/14/2025	10067989
Hon.	Smith	Adrian		P	NE03	2025	2/13/2025	8220764
	Smith	Robert Jeffrey		C	CA24	2025	4/2/2025	10064644
Hon.	Spanberger	Abigail		T	VA07	2025	1/11/2025	10063255
	Sparrow	Steven		C	CA29	2025	1/23/2025	10063299
Hon.	Spartz	Victoria		P	IN05	2025	2/10/2025	20026754
Hon.	Spartz	Victoria		P	IN05	2025	4/26/2025	20030233
Hon.	Steel	Michelle		T	CA45	2025	3/23/2025	10063281
Hon.	Steel	Michelle		X	CA45	2025	1/23/2025	30022480
	Stern	Eli		C	CA49	2025	3/7/2025	10063478
Hon.	Steube	Greg		P	FL17	2025	4/4/2025	20024927
	Stewart	Trapper Gavin Alexander		C	IN07	2025	3/4/2025	10063458
	Stille	Becky Lynn		C	NE03	2025	5/14/2025	10068895
Hon.	Stutzman	Marlin		X	IN03	2025	5/13/2025	30023544
	Sullivan	John		X	NY17	2025	5/22/2025	30023172
	Sullivan	Maura Corby		X	NH01	2025	5/9/2025	8220895
Hon.	Suozzi	Thomas		P	NY03	2025	4/21/2025	20030188
	Swartz	Jessica		C	MI04	2025	5/20/2025	10067418
Dr.	Swift	Paula Williams		C	CA40	2025	4/8/2025	10064663
	Talkington	Michelle		X	MD05	2025	3/10/2025	30022504
	Taylor	Bernard		C	FL21	2025	5/14/2025	10067871
Hon.	Taylor	David J.		P	OH02	2025	4/3/2025	20029060
Hon.	Taylor	David J.		P	OH02	2025	4/3/2025	20029069
	Techau	Kevin W.		X	IA02	2025	5/22/2025	30023847
	Terrell	Travis		C	IA01	2025	4/11/2025	10064675
	Todd	Jennifer Ann		C	IL15	2025	4/20/2025	10066361
	Tomkins	Anthony		C	UT01	2025	1/29/2025	10063327
	Tomkins	Anthony		D	UT01	2025	3/3/2025	40003718
Mr.	Tran	Nick B.		C	TX02	2025	5/14/2025	10066640
	Treble	Jonathan		X	AZ01	2025	5/22/2025	30023746
	Trevino	Ryan		W	TX28	2025	5/19/2025	8008
Hon.	Trone	David		T	MD06	2025	4/18/2025	10063233
Hon.	Trone	David		X	MD06	2025	1/14/2025	30022472
Mr.	Truman	Benedict	II	C	GA04	2025	3/22/2025	10063583
	Turner	Sylvester		C	TX18	2025	1/30/2025	10063318
	Tyler	John Wesley		C	CA04	2025	1/16/2025	10063277
	Tyler	John Wesley		C	CA04	2025	4/2/2025	10064643
	Varet	Esther Kim		X	CA40	2025	2/25/2025	30022482
	Varet	Esther Kim		X	CA40	2025	4/29/2025	30022685
	Vartan	Gregory	III	X	NJ07	2025	3/19/2025	30022509
	Vincent	John Gregory		C	SC07	2025	5/13/2025	10067625
Hon.	Wagner	Ann		P	MO02	2025	2/14/2025	8220765
Hon.	Wagner	Ann		P	MO02	2025	4/16/2025	8220836
	Walleck	Connor		C	WI01	2025	4/23/2025	10066574
Hon.	Waltz	Michael		E	FL06	2025	5/27/2025	40004775
Hon.	Waltz	Michael		P	FL06	2025	1/23/2025	20026639
	Washington Soviegn	Emelia Rosie		C	IL07	2025	2/17/2025	10063297
Hon.	Wasserman Schultz	Debbie		P	FL25	2025	3/6/2025	20027912
	Watkins	Vinson L Mr		C	GA08	2025	5/9/2025	10067782
Mr.	Weland	Jason Patrick		W	CA05	2025	3/3/2025	8002
Hon.	Wenstrup	Brad R.		T	OH02	2025	3/4/2025	10063304
Hon.	Wenstrup	Brad R.		X	OH02	2025	1/30/2025	30022488
Hon.	Westerman	Bruce		P	AR04	2025	4/16/2025	20030146
Hon.	Westerman	Bruce		P	AR04	2025	5/12/2025	20030332
Hon.	Wexton	Jennifer		X	VA10	2025	1/22/2025	30022478
	Wheatley	Jordan Douglas		C	TX03	2025	5/14/2025	10065699
	Whipple	Cody K.		X	NV04	2025	5/14/2025	30023373
Hon.	Whitesides	George		P	CA27	2025	4/23/2025	20027982
Hon.	Whitesides	George		X	CA27	2025	5/9/2025	8220881
	Wied	Tony		P	WI08	2025	2/10/2025	8220757
	Wied	Tony		P	WI08	2025	3/14/2025	8220799
	Wied	Tony		P	WI08	2025	4/4/2025	8220824
	Wied	Tony		P	WI08	2025	5/13/2025	8220903
Hon.	Wild	Susan		T	PA07	2025	5/15/2025	10063269
Hon.	Wild	Susan		X	PA07	2025	1/15/2025	30022473
Hon.	Williams	Brandon McDonald		X	NY22	2025	1/24/2025	30022483
	Williams	John-Samuel Etheridge		C	CA51	2025	1/31/2025	10063319
	Williams	Lily Tang		C	NH02	2025	5/9/2025	10067326
Hon.	Williams	Roger		P	TX25	2025	3/1/2025	20027867
	Wilson	Jeff		C	IL13	2025	5/27/2025	10070259
	Wojciechowski	Aaron Michael		C	WI06	2025	5/24/2025	10068152
Hon.	Yakym	Rudy C.	III	P	IN02	2025	1/28/2025	20026666
Hon.	Yakym	Rudy C.	III	P	IN02	2025	5/8/2025	20030311
